"ID","SITE","STRAT","UNIT","NAMED_ID","OTHERUNIT","RAWMATERIAL","CORTEX","CORTEXTYPE","ARTIFACTCLASS","COMPLETENESS","CORECOMPLETENESS","RETOUCHEDPIECETYPOLOGY","RETOUCHTYPE","RETOUCHFACE","RETOUCHREGIONNUMBER","RETOUCHREGIONLOCATION","LENGTHLONGESTRETOUCH","RETOUCHINVASIVENESS","EDGETHICKNESS_1","EDGETHICKNESS_2","EDGETHICKNESS_3","BACKEDTOOLEDGE_1","BACKEDTOOLEDGE_2","BACKEDTOOLEDGE_3","BACKEDTOOLWIDTH_1","BACKEDTOOLWIDTH_2","BACKEDTOOLWIDTH_3","BACKEDTOOLTHICKNESS_1","BACKEDTOOLTHICKNESS_2","BACKEDTOOLTHICKNESS_3","BACKEDTOOLARRIS","PLATFORM","FLAKEINITIATION","FLAKETERMINATION","PIECEBLANK","SCRAPERMAXTHICKNESS","SCRAPERRETOUCHLENGTH","SCRAPERRETOUCHANGLE1","SCRAPERRETOUCHANGLE2","SCRAPERRETOUCHANGLE3","SCRAPERDORSALANGLE1","SCRAPERDORSALANGLE2","SCRAPERDORSALANGLE3","SCRAPERRETOUCHHEIGHT1","SCRAPERRETOUCHHEIGHT2","SCRAPERRETOUCHHEIGHT3","FLAKEGEOMETRY","PLATFORMPREP","PLATABRASION","PLATFORMWIDTH","PLATFORMTHICKNESS","STAGE","CONARDUNIFIEDTYPE","CORESUBTYPOLOGY","COREBLANKSPHERICITY","COREPLATFACETED","SCARCOUNT","EXPLOITEDFACES","FLAKEGENERATIONSLENGTH","FLAKEGENERATIONSWIDTH","FLAKEGENERATIONSTHICKNESS","LENGHTLONGESTFLAKESCAR","MAXLENGTH","TECHLENGTH","MAXWIDTH","TECHWIDTH","MAXTHICKNESS","MASS","COMMMENTS","PHOTO"
"1","SBF","4b","I4","Brown Ash","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Bending","Feather","",,,,,,,,,,,,"RECTANGULAR","ResidualFacetWithBulb","No",6.63,1.92,"Main","","","","",,,,,,,6.10,6.10,9.63,9.63,2.06,0.18,"","N"
"10","SBF","4a","I4","BWA 1","","Quartz","0%","","Flake","Proximal","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Indeterminate","",,,,,,,,,,,,"RECTANGULAR","Indeterminate","No",3.95,1.21,"","","","","",,,,,,,13.52,,11.57,,2.31,0.38,"","N"
"100","SBF","4b","I3","Hearth Below BWA (Bottom)","","Quartz","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Step","",,,,,,,,,,,,"RECTANGULAR","NotPrepared","No",5.86,3.37,"Main","","","","",,,,,,,24.25,19.22,14,14,5.56,2.00,"","N"
"1002","SBF","5","J3","Organic Mantis III","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","Bladelet","Cubic","0%",3,2,0,3,6,14.42,15.43,,10.12,,5.56,1.09,"","N"
"1003","SBF","5","J3","Organic Mantis III","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","Irregular","Cubic","0%",4,2,2,0,6,16.04,32.32,,24.06,,12.84,10,"","N"
"1004","SBF","5","J3","Organic Mantis III","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","RiceGrain","Cubic","0%",2,2,0,2,4,7.45,7.9,,5.47,,2.64,0.17,"","N"
"1005","SBF","4a","J3","Furnace 2 (Rear)","","Quartz","0%","","Core","","Complete","","","","","",,"",,,,,,,,,,,,,,"","","","",,,,,,,,,,,,"","","",,,"","Bipolar","Bladelet","Cubic","10-40%",3,2,1,2,3,14.21,18.63,,11.58,,6.64,2.07,"","N"
"1006","SBF","5","I3","Organic Mantis III","","Quartzite","0%","","Flake","Distal","","","","","","",,"",,,,,,,,,,,,,,"","","Feather","",,,,,,,,,,,,"OVAL","","",,,"","","","","",,,,,,,22.59,,21.01,,3.25,1.28,"","N"
"1007","SBF","5","I3","Organic Mantis III","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","Indeterminate","No",4.02,0.82,"Main","","","","",,,,,,,12.42,12.42,11.27,11.27,1,0.19,"","N"
"1008","SBF","5","I3","Organic Mantis III","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"TRAPEZOIDAL","NotPrepared","No",15.86,3.99,"Main","","","","",,,,,,,17.02,15.27,21.43,21.43,3.7,1.4,"","N"
"1009","SBF","5","I3","Organic Mantis III","","Quartzite","0%","","Flake","Complete","","","","","","",,"",,,,,,,,,,,,,,"Yes","Hertzian","Feather","",,,,,,,,,,,,"OVAL","NotPrepared","No",11.45,3.38,"Main","","","","",,,,,,,16.63,16.63,15.89,15.89,2.77,1,"","N"
