ID,Site,Layer,Unit,Other Name,Raw Material,Cortex Percent,Artifact class,Cortex Origin,Complete,Platform?,Initiated,Termination,Flake Geometry,Platform Preparation,PlatformAbrasion,Platform Width,Platform Thickness,Flaking Stage,Maximum Length,Technological Length,Maximum Width,Technological Width,Thickness,Mass,Notes,Photo
a1,SBF,4A,J3,Lower Furnace ,Quartz,1-10%,flake,Cobble,Indeterminate,No,No bulb,Step,Rhombus,No prepared,No,N/A,N/A,Main,18.17mm,N/A,7.84mm,N/A,5.68mm,0.66g,,
a2,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Indeterminate,Yes,Bulb,Feather,Kite,Residual grooves on platform,No,4.36mm,1.92mm,Main,11.73mm,9.52mm,9.11mm,9.11mm,1.43mm,0.15g,,
a3,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Indeterminate,No,No bulb,Feather,Triangular,No prepared,Indeterminate,N/A,N/A,Main,14.36mm,N/A,13.18mm,N/A,5.93mm,0.75g,,
a4,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Complete,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,2.17mm,1.03mm,Main,9.94mm,8.52mm,6.33mm,5.41mm,1.86mm,0.08g,,
a5,SBF,4A,J3,Lower Furnace ,Quartz,1-10%,flake,Cobble,Complete,Yes,Bulb,Feather,Trapezoidal,Indeterminate,No,11.24mm,5.15mm,Main,10.39mm,10.27mm,8.91mm,8.6mm,4.62mm,0.46g,,
a6,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Complete,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,3.54mm,1.91mm,Main,9.25mm,9.25mm,11.10mm,7.98mm,1.88mm,0.17g,,
a7,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Complete,Yes,Bulb,Feather,Trapezoidal,No prepared,No,5.30mm,1.82mm,Main,13.59mm,12.02mm,9.03mm,8.17mm,2.13mm,0.31g,,
a8,SBF,4A,J3,Lower Furnace ,Quartz,0%,flake,Cobble,Complete,Yes,Bulb,Feather,Rectangular,Residual grooves on platform,No,8.18mm,4.64mm,Main,13.79mm,13.07mm,7.85mm,7.66mm,5.85mm,0.71g,,
a9,SBF,4A,J3,Lower Furnace ,Quartz,1-10%,flake,Cobble,Complete,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,7.31mm,3.92mm,Main,9.47mm,8.84mm,12.42mm,11.50mm,3.78mm,0.46g,,
a10,SBF,4A,J3,Lower Furnace ,Quartz,61-90%,flake,Cobble,Complete,Yes,Bulb,Feather,Circular,No prepared,Yes,12.68mm,7.73mm,Main,20.92mm,19.30mm,16.50mm,14.54mm,8.36mm,2.67g,,
