ID,,Site,Layer,Unit,Other Name,Raw Material,Cortex Percent,Artifact class,Cortex Origin,Complete,Platform?,Initiated,Termination,Flake Geometry,Platform Preparation,PlatformAbrasion,Platform Width,Platform Thickness,Flaking Stage,Maximum Length,Technological Length,Maximum Width,Technological Width,Thickness,Mass,Notes,Photo
8,,SBF,4b,Brown ash,,Quartz,0%,Flake,,Mesial,Yes,Bulb,Step,Kite,No prepared,No,6.83,5.75,Main,10.83,10.74,4.85,5.18,3.82,0.23,,N
9,,SBF,4b,Brown ash ,,Quartz,0%,Flake,,Indeterminate,Yes,No bulb,Overshot,Triangular,No prepared,Yes,11.61,4.55,Main,13.98,14,7.6,7.81,4.65,0.46,,N
10,,SBF,4b,Brown Ash ,,Quartz,0%,Flake,,Indeterminate,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,6.23,2.06,Main,10.09,9.36,6.09,9.12,1.91,0.11,,N
11,,SBF,4b,Brown Ash,,Quartz,0%,Flake,,Proximal,Yes,Bulb,Step,Ovular,No prepared,No,4,1.69,Main,9.36,10.36,9.44,9.34,3.21,0.33,,N
12,,SBF,4b,Brown Ash,,Quartzite,0%,Flake,,Proximal,Yes,Bulb,Step,Rhombus,Residual grooves on platform,No,12.02,4.66,Main,30.53,26.09,20.63,26.08,7.34,5.58,,N
13,,SBF,4b,Brown Ash ,,Quartz,0%,Flake,,Distal,Yes,Bulb,Feather,Rectangular,Residual grooves on platform,No,5.8,2.16,Main,9.57,8.14,9.54,9.54,3.27,0.26,,N
14,,SBF,4b,Below remains 2,,CCS,41-60%,Flake,Cobble,Complete,No,No bulb,Feather,Rectangular,,,,,Main,15.89,15.78,5.47,6.06,2.35,0.31,,N
15,,SBF,4b,Below remains 2,,CCS,0%,Flake,,Complete,Yes,Bulb,Feather,Rhombus,Residual grooves on platform,No,6.67,2.28,Main,19.15,18.9,13.71,12.48,4.94,1.42,,N
16,,SBF,4b,Below remains 2,,CCS,41-60%,Flake,Cobble,Indeterminate,Yes,No bulb,Feather,Triangular,Indeterminate,Yes,12.38,5.06,Main,21.45,21.65,12.14,12.06,5.05,1.42,,N
17,,SBF,4b,Below remains 2,,Hornfel,0%,Flake,,Proximal,Yes,Bulb,Feather,Kite,Residual grooves on platform,No,9.92,12.83,Main,23.9,21.71,21.1,21.1,8.86,3.07,,N
18,,SBF,4b,Below remains 2,,CCS,11-40%,Flake,Outcrop,Distal,No,No bulb,Step,Triangular,No prepared,Indeterminate,,,Main,26.98,25.04,15.01,14.94,4.26,1.51,,N
19,,SBF,4b,Below remains 2,,Quartz,61-90%,Flake,Cobble,Indeterminate,Yes,Bulb,Feather,Ovular,Indeterminate,Yes,7.4,7.11,Main,18.5,18.2,10.74,11.2,6.97,1.33,,N
20,,SBF,4b,BelowRemains 2,,Quartz,41-60%,Flake,Cobble,Mesial,Yes,Bulb,Feather,Rhombus,Full grooves through platform,No,8.33,3.88,Main,13.37,12.46,8.35,8.45,4.8,0.72,,N
21,,SBF,4b,Below remains 2,,Quartz,1-10%,Flake,Outcrop,Indeterminate,No,No bulb,Feather,Rectangular,,,,,Main,16.35,16.8,6.64,6.7,4.34,0.45,,N
22,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Cobble,Complete,No,No bulb,Feather,Ovular,,,,,Main,8.98,8.98,7.95,7.95,1.78,0.13,,N
23,,SBF,4b,Brown Ash 3,,Quartz,11-40%,Flake,Cobble,Complete,No,Bulb,Feather,Kite,,,,,Main,26.72,24.48,11.05,11.35,2.52,0.92,,N
24,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,No bulb,Feather,Triangular,,,,,Main,15.54,15.21,4.43,4.43,1.68,0.13,,N
25,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,No bulb,Feather,Kite,,,,,Main,21.45,20.49,11.01,9.78,3.34,1,,N
26,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,No bulb,Feather,Rhombus,,,,,Main,11.13,8.86,5.99,6.1,1.73,0.13,,N
27,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,No bulb,Feather,Trapezoidal,,,,,Main,10.9,10.67,5.95,5.95,1.53,0.13,,N
28,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,No bulb,Feather,Rhombus,,,,,Main,12.25,9.42,8.06,8.06,2.07,0.25,,N
29,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Complete,No,Bulb,Feather,Ovular,,,,,Main,11.03,11.03,6.95,6.95,2.23,0.14,,N
30,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Outcrop,Indeterminate,No,No bulb,Overshot,Kite,,,,,Main,9.73,9.75,6.59,6.59,2.49,0.2,,N
31,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Outcrop,Distal,No,No bulb,Feather,Ovular,,,,,Main,11.56,10.56,6.4,6.4,3.05,0.29,,N
32,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Cobble,Indeterminate,Yes,No bulb,Overshot,Circular,Residual grooves on platform,Yes,9.28,4.93,Main,14.5,12.43,10.66,10.66,7.71,1.52,,N
33,,SBF,4b,Brown Ash 3,,Quartz,11-40%,Flake,Cobble,Mesial,Yes,No bulb,Step,Trapezoidal,Indeterminate,No,12.22,2.83,Main,18.59,11.69,7.85,7.85,2.75,0.42,,N
34,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Outcrop,Mesial,Yes,No bulb,Step,Triangular,Full grooves through platform,No,13.05,2.99,Main,12.1,12.01,6.55,6.55,2.72,0.28,,N
35,,SBF,4b,Brown Ash 3,,Quartz,41-60%,Flake,Cobble,Proximal,Yes,Bulb,Step,Triangular,Residual grooves on platform,No,10,3.01,Main,9.65,9.65,6.77,6.77,3.34,0.33,,N
36,,SBF,4b,Brown Ash 3,,Quartz,11-40%,Flake,Cobble,Indeterminate,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,9.89,5.77,Main,12.46,12.42,9.71,9.71,4.46,0.52,,N
37,,SBF,4b,Brown Ash 3,,Quartz,61-90%,Flake,Cobble,Mesial,Yes,Bulb,Feather,Triangular,Residual grooves on platform,No,9.96,4.66,Main,12.26,12.24,9.54,9.54,4.23,0.56,,N
38,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Outcrop,Distal,Yes,Bulb,Step,Rectangular,Indeterminate,No,9.88,1.78,Main,11.18,11.18,8.93,8.93,2.13,0.32,,N
39,,SBF,4b,Brown Ash 3,,Quartz,1-10%,Flake,Outcrop,Indeterminate,Yes,Bulb,Step,Circular,Indeterminate,No,9.39,2.78,Main,11.67,11.67,11.61,11.61,3.55,0.53,,N
40,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Indeterminate,No,No bulb,Feather,Triangular,,,,,Main,9.24,9.24,4.85,4.85,2.96,0.15,,N
41,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Indeterminate,No,No bulb,Feather,Rectangular,,,,,Main,9.59,9.59,6.59,6.59,1.36,0.12,,N
42,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Distal,No,No bulb,Feather,Triangular,,,,,Main,10.05,10.05,3.29,3.29,1.53,0.09,,N
43,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Indeterminate,Yes,No bulb,Feather,Triangular,Residual grooves on platform,No,9.45,2.2,Main,9.27,9.27,4.62,4.62,2.93,0.17,,N
44,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Indeterminate,Yes,No bulb,Feather,Kite,Residual grooves on platform,No,11.82,2.23,Main,15.97,15.97,14.15,14.15,2.99,0.7,,N
45,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Distal,Yes,No bulb,Step,Triangular,Residual grooves on platform,No,13.52,3.44,Main,14.21,14.21,7.98,7.98,4.27,0.64,,N
46,,SBF,4b,Brown Ash 3,,Quartz,0%,Flake,,Indeterminate,Yes,Bulb,Feather,Triangular,Indeterminate,No,8.56,1.21,Main,8.98,9.7,7.49,7.49,1.51,0.15,,N
47,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Outcrop,Complete,No,No bulb,Feather,Trapezoidal,,,,,Main,24.07,22.37,3.19,3.19,4.57,0.54,,N
48,,SBF,4b,BWA upper1.5,,Quartz,61-90%,Flake,Cobble,Complete,No,No bulb,Feather,Circular,,,,,Main,17.09,17.09,15.68,15.68,4.54,1.35,,N
49,,SBF,4b,BWA upper1.5,,Quartz,1-10%,Flake,Outcrop,Complete,No,No bulb,Feather,Rhombus,,,,,Main,16.48,16.04,9.67,9.67,3.51,0.78,,N
50,,SBF,4b,BWA upper1.5,,Quartz,1-10%,Flake,Cobble,Complete,No,No bulb,Feather,Triangular,,,,,Main,24.31,22.86,12.06,12.06,4.45,1.44,,N
51,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Cobble,Complete,No,No bulb,Step,Trapezoidal,,,,,Main,19.19,19.15,10,9.9,5.61,1.08,,N
52,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Cobble,Complete,No,No bulb,Feather,Triangular,,,,,Main,15.76,15.76,8.59,8.59,3.86,0.41,,N
53,,SBF,4b,BWA upper1.5,,Quartz,11-40%,Flake,Cobble,Complete,No,No bulb,Feather,Triangular,,,,,Main,10.76,10.76,6.23,6.2,1.75,0.16,,N
54,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Cobble,Complete,No,Bulb,Feather,Rhombus,,,,,Main,11.15,11.15,7.68,7.68,2.38,0.24,,N
55,,SBF,4b,BWA upper1.5,,Quartz,11-40%,Flake,Cobble,Complete,No,Bulb,Feather,Rhombus,,,,,Main,13.24,13.17,9.96,9.96,2.42,0.38,,N
56,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Cobble,Complete,No,Bulb,Feather,Kite,,,,,Main,15.38,15.38,7.85,6.52,2.62,0.28,,N
57,,SBF,4b,BWA upper1.5,,Quartz,0%,Flake,,Indeterminate,No,No bulb,Feather,Trapezoidal,,,,,Main,14.43,14.4,8.31,8.31,3.93,0.47,,N
58,,SBF,4b,BWA upper1.5,,Quartz,0%,Flake,,Indeterminate,No,No bulb,Feather,Triangular,,,,,Main,11.91,11.75,6.14,6.14,1.87,0.16,,N
59,,SBF,4b,BWA upper1.5,,Quartz,61-90%,Flake,Cobble,Mesial,No,No bulb,Step,Rhombus,,,,,Main,34.27,30.65,18.69,17.54,11.04,7.61,,N
60,,SBF,4b,BWA upper1.5,,Quartz,41-60%,Flake,Cobble,Indeterminate,No,No bulb,Overshot,Kite,,,,,Main,19.23,19.18,8.13,8.13,4.55,0.72,,N
