Site,Artifact Class,Layer,Count,Type
Steenbokfontein,Chunks,1,122,Unmodified
Steenbokfontein,Chips,1,112,Unmodified
Steenbokfontein,Flakes,1,142,Unmodified
Steenbokfontein,Blades,1,0,Unmodified
Steenbokfontein,Bladelets,1,4,Unmodified
Steenbokfontein,CoreReduced,1,10,Unmodified
Steenbokfontein,BladeletCores,1,1,Unmodified
Steenbokfontein,IrregularCores,1,6,Unmodified
Steenbokfontein,RegularCores,1,0,Unmodified
Steenbokfontein,Chunks,2,133,Unmodified
Steenbokfontein,Chips,2,118,Unmodified
Steenbokfontein,Flakes,2,157,Unmodified
Steenbokfontein,Blades,2,0,Unmodified
Steenbokfontein,Bladelets,2,3,Unmodified
Steenbokfontein,CoreReduced,2,6,Unmodified
Steenbokfontein,BladeletCores,2,0,Unmodified
Steenbokfontein,IrregularCores,2,2,Unmodified
Steenbokfontein,RegularCores,2,0,Unmodified
Steenbokfontein,Chunks,3a,159,Unmodified
Steenbokfontein,Chips,3a,325,Unmodified
Steenbokfontein,Flakes,3a,250,Unmodified
Steenbokfontein,Blades,3a,1,Unmodified
Steenbokfontein,Bladelets,3a,13,Unmodified
Steenbokfontein,CoreReduced,3a,20,Unmodified
Steenbokfontein,BladeletCores,3a,0,Unmodified
Steenbokfontein,IrregularCores,3a,1,Unmodified
Steenbokfontein,RegularCores,3a,2,Unmodified
Steenbokfontein,Chunks,3b,413,Unmodified
Steenbokfontein,Chips,3b,571,Unmodified
Steenbokfontein,Flakes,3b,628,Unmodified
Steenbokfontein,Blades,3b,1,Unmodified
Steenbokfontein,Bladelets,3b,23,Unmodified
Steenbokfontein,CoreReduced,3b,45,Unmodified
Steenbokfontein,BladeletCores,3b,1,Unmodified
Steenbokfontein,IrregularCores,3b,11,Unmodified
Steenbokfontein,RegularCores,3b,2,Unmodified
Steenbokfontein,Chunks,4a,543,Unmodified
Steenbokfontein,Chips,4a,1096,Unmodified
Steenbokfontein,Flakes,4a,809,Unmodified
Steenbokfontein,Blades,4a,2,Unmodified
Steenbokfontein,Bladelets,4a,50,Unmodified
Steenbokfontein,CoreReduced,4a,42,Unmodified
Steenbokfontein,BladeletCores,4a,2,Unmodified
Steenbokfontein,IrregularCores,4a,15,Unmodified
Steenbokfontein,RegularCores,4a,2,Unmodified
Steenbokfontein,Chunks,4b,572,Unmodified
Steenbokfontein,Chips,4b,1179,Unmodified
Steenbokfontein,Flakes,4b,860,Unmodified
Steenbokfontein,Blades,4b,7,Unmodified
Steenbokfontein,Bladelets,4b,72,Unmodified
Steenbokfontein,CoreReduced,4b,60,Unmodified
Steenbokfontein,BladeletCores,4b,0,Unmodified
Steenbokfontein,IrregularCores,4b,18,Unmodified
Steenbokfontein,RegularCores,4b,7,Unmodified
Steenbokfontein,Chunks,5,458,Unmodified
Steenbokfontein,Chips,5,884,Unmodified
Steenbokfontein,Flakes,5,643,Unmodified
Steenbokfontein,Blades,5,5,Unmodified
Steenbokfontein,Bladelets,5,37,Unmodified
Steenbokfontein,CoreReduced,5,27,Unmodified
Steenbokfontein,BladeletCores,5,1,Unmodified
Steenbokfontein,IrregularCores,5,9,Unmodified
Steenbokfontein,RegularCores,5,7,Unmodified
