ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
1,SBF,2,K4,FLAMINGO,,Quartzite,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Hinge,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,16.7,7.45,,,,,,,,,,,,58.76,,58.26,,15.93,15.84,,,
2,SBF,2,K4,FLAMINGO,,Quartzite,10-40%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,Yes,31.36,13.31,CoreMaintenance,,,,,,,,,,,31.49,7.31,15.57,30.71,12.99,2.44,Converging flake scars moving towards center of the flake,,
3,SBF,2,k4,FLAMINGO,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,Yes,20.77,7.68,Main,,,,,,,,,,,9.53,9.22,20.53,14.28,7.43,1.04,,,
4,SBF,2,K4,FLAMINGO,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Crushed,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10.98,7.48,Main,,,,,,,,,,,11.61,11.61,20.89,14.56,7.86,1.51,,,
5,SBF,2,K4,FLAMINGO,,Quartzite,10-40%,Outcrop,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Irregular,Cubic,40-60%,3,3,1,0,1,22.08,73.57,16.14,74.21,73.41,16.04,67.55,Core on flake,,
6,SBF,2,K4,FLAMINGO,,Quartzite,0%,,RetouchedTool,Complete,,EndScraper,InvasiveEdgeShaping,Dorsal,3,345,11.35,1,9.31,15.04,14.71,,,,,,,,,,,,,,Indeterminate,14.57,9.02,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,33.28,28.39,46.76,38.47,12,16.3,,,
7,SBF,2,K4,FLAMINGO,,Quartz,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,No,,Crushed,,,,,,,,,,,,,TRIANGULAR,,,,,,,,,,,,,,,,16.22,,12.18,,4.55,0.68,,,
8,SBF,2,K4,FLAMINGO,,Quartz,10-40%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,OVAL,NotPrepared,No,24.98,11.7,Initial,,,,,,,,,,,33.82,33.82,29.16,29.16,11.53,10.45,,,
9,SBF,2,K4,FLAMINGO,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Bipolar,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,6.66,2.97,Main,,,,,,,,,,,13.27,13.27,7.66,5.86,2.82,0.25,,,
10,SBF,2,K4,FLAMINGO,,Quartz,0%,,RetouchedTool,Complete,,MinimallyRetouched,MarginalEdgeShaping,Ventral,3,567,4.59,1,4.11,2.17,0.9,,,,,,,,,,,,,,Flake,,,,,,,,,,,,RHOMBUS,,,,,Main,,,,,,,,,,,8.14,8.14,16.16,16.16,4.5,0.7,,,
